UniProt Accession,Gene Symbol,Protein Name,Expert Opinion,MS,IHC,mRNA
O76038,SCGN,Secretagogin,,"saliva: 27/6.66 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,3.7
Q8WU76,SCFD2,Sec1 family domain-containing protein 2,,"saliva: 16/2.68 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,13
Q9UHJ3,SFMBT1,Scm-like with four MBT domains protein 1,,"saliva: 18/1.53 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,4.6
Q15468,STIL,SCL-interrupting locus protein,,"saliva: 4/0.33 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,3.6
O95171,SCEL,Sciellin,,"saliva: 9/1 peptides
parotid gland: 2/0.02 peptides
sm/sl glands: 0/0 peptides",not detected,11.8
Q6R2W3,ZBED9,SCAN domain-containing protein 3,,"saliva: 18/0.95 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,2.4
Q93084,ATP2A3,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3,,"saliva: 5/0.42 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,88.1
P16615,ATP2A2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,,"saliva: 24/2.22 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,18.3
Q9NXZ1,SAGE1,Sarcoma antigen 1,,"saliva: 3/0.38 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O94885,SASH1,SAM and SH3 domain-containing protein 1,,"saliva: 53/3.27 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,12.2
P02810,PRH1;PRH2,Salivary acidic proline-rich phosphoprotein 1/2,,"saliva: 128/508.62 peptides
parotid gland: 1208/3127.74 peptides
sm/sl glands: 2442/14385.84 peptides",?,2507.3
Q9NZJ4,SACS,Sacsin,,"saliva: 1363/24.18 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,6
O43865,AHCYL1,S-adenosylhomocysteine hydrolase-like protein 1,,"saliva: 92/13 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,17.9
Q9NV66,TYW1,S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1,,"saliva: 3/0.24 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9BY12,SCAPER,S phase cyclin A-associated protein in the endoplasmic reticulum,,"saliva: 336/17.09 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,9.7
Q15413,RYR3,Ryanodine receptor 3,,"saliva: 10/0.17 peptides
parotid gland: 0/0 peptides
sm/sl glands: 2/0.01 peptides",?,1.4
Q92736,RYR2,Ryanodine receptor 2,,"saliva: 144/2.41 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,0.9
P21817,RYR1,Ryanodine receptor 1,,"saliva: 28/0.49 peptides
parotid gland: 0/0 peptides
sm/sl glands: 2/0.01 peptides",not detected,1.6
Q6ZNE9,RUFY4,RUN and FYVE domain-containing protein 4,,"saliva: 3/0.35 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,1.4
Q9HCK4,ROBO2,Roundabout homolog 2,,"saliva: 227/16.37 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,2.1
Q86VV8,RTTN,Rotatin,,"saliva: 206/10.54 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,5.2
Q5TZA2,CROCC,Rootletin,,"saliva: 528/14 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,135.2
P16499,PDE6A,"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha",,"saliva: 74/6.63 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P78332,RBM6,RNA-binding protein 6,,"saliva: 3/0.17 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,28.1
Q5T481,RBM20,RNA-binding protein 20,,"saliva: 7/0.45 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8IXT5,RBM12B,RNA-binding protein 12B,,"saliva: 2/0.14 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,15.3
Q9BXT6,MOV10L1,RNA helicase Mov10l1,,"saliva: 2/0.13 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9H0A0,NAT10,RNA cytidine acetyltransferase,,"saliva: 0/0 peptides
parotid gland: 2/0.02 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O00442,RTCA,RNA 3'-terminal phosphate cyclase,,"saliva: 7/1.56 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,18.5
Q96MK2,RIPOR3,RIPOR family member 3,,"saliva: 10/1.33 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8ND24,RNF214,RING finger protein 214,,"saliva: 51/5.78 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,13.4
Q9H0X6,RNF208,RING finger protein 208,,"saliva: 41/19.34 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,11.4
Q96PM5,RCHY1,RING finger and CHY zinc finger domain-containing protein 1,,"saliva: 2/0.77 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,12.3
Q96AT9,RPE,Ribulose-phosphate 3-epimerase,,"saliva: 198/81.81 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,18.3
Q969S9,GFM2,"Ribosome-releasing factor 2, mitochondrial",,"saliva: 7/0.81 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,15.7
Q9P2E9,RRBP1,Ribosome-binding protein 1,,"saliva: 14/0.43 peptides
parotid gland: 2/0.01 peptides
sm/sl glands: 0/0 peptides",high,84.2
Q14137,BOP 1,Ribosome biogenesis protein BOP1,,"saliva: 2/0.25 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,5.8
Q14692,BMS1,Ribosome biogenesis protein BMS1 homolog,,"saliva: 162/7.78 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,18.8
Q92979,EMG1,Ribosomal RNA small subunit methyltransferase NEP1,,"saliva: 12/3.63 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,8.6
Q9UK32,RPS6KA6,Ribosomal protein S6 kinase alpha-6,,"saliva: 84/9 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9H6W3,RIOX1,Ribosomal oxygenase 1,,"saliva: 130/19.45 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P49247,RPIA,Ribose-5-phosphate isomerase,,"saliva: 6/1.71 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,12.6
P23921,RRM1,Ribonucleoside-diphosphate reductase large subunit,,"saliva: 111/11.28 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,15.4
O00584,RNASET2,Ribonuclease T2,,"saliva: 348/74.05 peptides
parotid gland: 22/2.35 peptides
sm/sl glands: 38/7.73 peptides",medium,30.7
P13489,RNH1,Ribonuclease inhibitor,,"saliva: 9/0.69 peptides
parotid gland: 2/0.04 peptides
sm/sl glands: 0/0 peptides",low,37.5
P34096,RNASE4,Ribonuclease 4,,"saliva: 0/0 peptides
parotid gland: 18/2.1 peptides
sm/sl glands: 9/1.02 peptides",?,35
Q9NRR4,DROSHA,Ribonuclease 3,,"saliva: 173/10.11 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,17.5
O75116,ROCK2,Rho-associated protein kinase 2,,"saliva: 117/4.9 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,10.3
Q13464,ROCK1,Rho-associated protein kinase 1,,"saliva: 2/0.09 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,9.4
Q8TER5,ARHGEF40,Rho guanine nucleotide exchange factor 40,,"saliva: 108/6.52 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,20.1
Q9NR81,ARHGEF3,Rho guanine nucleotide exchange factor 3,,"saliva: 4/0.92 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,18.6
Q92974,ARHGEF2,Rho guanine nucleotide exchange factor 2,,"saliva: 39/2.73 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,12.2
Q96PE2,ARHGEF17,Rho guanine nucleotide exchange factor 17,,"saliva: 13/0.42 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,6.9
Q5VV41,ARHGEF16,Rho guanine nucleotide exchange factor 16,,"saliva: 15/1.6 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,10.1
O94989,ARHGEF15,Rho guanine nucleotide exchange factor 15,,"saliva: 4/0.46 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,3.4
O15085,ARHGEF11,Rho guanine nucleotide exchange factor 11,,"saliva: 26/1.43 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,9.3
P85298,ARHGAP8,Rho GTPase-activating protein 8,,"saliva: 172/29.73 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,28.4
Q96QB1,DLC1,Rho GTPase-activating protein 7,,"saliva: 16/0.75 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,4.9
Q13017,ARHGAP5,Rho GTPase-activating protein 5,,"saliva: 13/0.06 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,26
Q52LW3,ARHGAP29,Rho GTPase-activating protein 29,,"saliva: 18/1.19 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,20.7
Q9P2N2,ARHGAP28,Rho GTPase-activating protein 28,,"saliva: 125/11.27 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,1.7
Q5T5U3,ARHGAP21,Rho GTPase-activating protein 21,,"saliva: 136/5.07 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,16
A1A4S6,ARHGAP10,Rho GTPase-activating protein 10,,"saliva: 7/0.61 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,6.7
P52566,ARHGDIB,Rho GDP-dissociation inhibitor 2,,"saliva: 933/248.27 peptides
parotid gland: 2/0.06 peptides
sm/sl glands: 7/0.51 peptides",low,22.4
P52565,ARHGDIA,Rho GDP-dissociation inhibitor 1,,"saliva: 3/0.74 peptides
parotid gland: 0/0 peptides
sm/sl glands: 2/0.17 peptides",medium,47.4
Q6NW40,RGMB,RGM domain family member B,,"saliva: 7/1.71 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,18.4
Q53RT3,ASPRV1,Retroviral-like aspartic protease 1,,"saliva: 21/5.38 peptides
parotid gland: 0/0 peptides
sm/sl glands: 2/0.13 peptides",n/a,n/a
Q8NET4,RTL9,Retrotransposon Gag-like protein 9,,"saliva: 11/1.15 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9HCM1,RESF1,Retroelement silencing factor 1,,"saliva: 2/0.08 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,8.6
P02753,RBP4,Retinol-binding protein 4,,"saliva: 0/0 peptides
parotid gland: 2/0.06 peptides
sm/sl glands: 3/0.25 peptides",not detected,1.8
Q9HBH5,RDH14,Retinol dehydrogenase 14,,"saliva: 6/1.28 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,13.8
Q9HB40,SCPEP1,Retinoid-inducible serine carboxypeptidase,,"saliva: 0/0 peptides
parotid gland: 2/0.04 peptides
sm/sl glands: 0/0 peptides",high,31.5
Q16518,RPE65,Retinoid isomerohydrolase,,"saliva: 5/0.95 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q7Z5J4,RAI1,Retinoic acid-induced protein 1,,"saliva: 43/2.24 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,24
P49788,RARRES1,Retinoic acid receptor responder protein 1,,"saliva: 0/0 peptides
parotid gland: 2/0.06 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q08999,RBL2,Retinoblastoma-like protein 2,,"saliva: 20/1.37 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,26.2
P28749,RBL1,Retinoblastoma-like protein 1,,"saliva: 6/0.4 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,4.8
Q15291,RBBP5,Retinoblastoma-binding protein 5,,"saliva: 62/11.49 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P12271,RLBP1,Retinaldehyde-binding protein 1,,"saliva: 3/0.85 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9Y2V3,RAX,Retinal homeobox protein Rx,,"saliva: 268/60.99 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P00352,ALDH1A1,Retinal dehydrogenase 1,,"saliva: 11/1.69 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q86UN2,RTN4RL1,Reticulon-4 receptor-like 1,,"saliva: 11/2.22 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9NQC3,RTN4,Reticulon-4,,"saliva: 14/0.19 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,23.6
Q15293,RCN1,Reticulocalbin-1,,"saliva: 0/0 peptides
parotid gland: 0/0 peptides
sm/sl glands: 2/0.11 peptides",n/a,n/a
Q8IZ40,RCOR2,REST corepressor 2,,"saliva: 64/9.73 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9HD89,RETN,Resistin,,"saliva: 173/141.12 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,0.7
P35251,RFC1,Replication factor C subunit 1,,"saliva: 10/0.42 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,17.4
O75787,ATP6AP2,Renin receptor,,"saliva: 0/0 peptides
parotid gland: 4/0.11 peptides
sm/sl glands: 2/0.14 peptides",n/a,n/a
Q96T23,RSF1,Remodeling and spacing factor 1,,"saliva: 3/0.15 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,13.4
Q8WUF5,PPP1R13L,RelA-associated inhibitor,,"saliva: 18/2.51 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,7.9
Q9HAU5,UPF2,Regulator of nonsense transcripts 2,,"saliva: 7/0.34 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8NE09,RGS22,Regulator of G-protein signaling 22,,"saliva: 47/2.52 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P41220,RGS2,Regulator of G-protein signaling 2,,"saliva: 2/0.64 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,5
O14924,RGS12,Regulator of G-protein signaling 12,,"saliva: 13/0.79 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,6.5
Q86UR5,RIMS1,Regulating synaptic membrane exocytosis protein 1,,"saliva: 124/5.77 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,1.9
P78509,RELN,Reelin,,"saliva: 22/0.74 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P23471,PTPRZ1,Receptor-type tyrosine-protein phosphatase zeta,,"saliva: 6/0.32 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O14522,PTPRT,Receptor-type tyrosine-protein phosphatase T,,"saliva: 98/5.94 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,2
Q13332,PTPRS,Receptor-type tyrosine-protein phosphatase S,,"saliva: 0/0 peptides
parotid gland: 3/0.01 peptides
sm/sl glands: 2/0.02 peptides",?,21.5
Q15256,PTPRR,Receptor-type tyrosine-protein phosphatase R,,"saliva: 7/0.87 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P23470,PTPRG,Receptor-type tyrosine-protein phosphatase gamma,,"saliva: 11/0.68 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P10586,PTPRF,Receptor-type tyrosine-protein phosphatase F,,"saliva: 0/0 peptides
parotid gland: 8/0.04 peptides
sm/sl glands: 3/0.04 peptides",n/a,n/a
Q12913,PTPRJ,Receptor-type tyrosine-protein phosphatase eta,,"saliva: 70/6.08 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P23469,PTPRE,Receptor-type tyrosine-protein phosphatase epsilon,,"saliva: 7/0.95 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P23468,PTPRD,Receptor-type tyrosine-protein phosphatase delta,,"saliva: 11/0.59 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P08575,PTPRC,Receptor-type tyrosine-protein phosphatase C,,"saliva: 3/0.22 peptides
parotid gland: 3/42.23 peptides
sm/sl glands: 0/0 peptides",not detected,10.7
P23467,PTPRB,Receptor-type tyrosine-protein phosphatase beta,,"saliva: 17/0.66 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P36888,FLT3,Receptor-type tyrosine-protein kinase FLT3,,"saliva: 7/0.74 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P57078,RIPK4,Receptor-interacting serine/threonine-protein kinase 4,,"saliva: 60/6.55 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,10.2
Q13546,RIPK1,Receptor-interacting serine/threonine-protein kinase 1,,"saliva: 136/19.99 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,21.1
P63244,RACK1,Receptor of activated protein C kinase 1,,"saliva: 0/0 peptides
parotid gland: 0/0 peptides
sm/sl glands: 5/0.36 peptides",medium,340
Q13127,REST,RE1-silencing transcription factor,,"saliva: 72/4 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q96I51,RCC1L,RCC1-like G exchanging factor-like protein,,"saliva: 98/18.76 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8NC74,RBBP8NL,RBBP8 N-terminal-like protein,,"saliva: 9/1.16 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,17.4
O14827,RASGRF2,Ras-specific guanine nucleotide-releasing factor 2,,"saliva: 4/0.26 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,1.9
P51149,RAB7A,Ras-related protein Rab-7a,,"saliva: 306/78.54 peptides
parotid gland: 9/0.74 peptides
sm/sl glands: 2/0.14 peptides",high,47
Q86YS6,RAB43,Ras-related protein Rab-43,,"saliva: 10/3.72 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q12829,RAB40B,Ras-related protein Rab-40B,,"saliva: 12/3.03 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9H0T7,RAB17,Ras-related protein Rab-17,,"saliva: 24/5.92 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P15153,RAC2,Ras-related C3 botulinum toxin substrate 2,,"saliva: 18/1.58 peptides
parotid gland: 2/0.08 peptides
sm/sl glands: 4/0.43 peptides",not detected,16.9
Q15404,RSU1,Ras suppressor protein 1,,"saliva: 14/6.03 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,15.1
Q86VI3,IQGAP3,Ras GTPase-activating-like protein IQGAP3,,"saliva: 50/1.75 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q13576,IQGAP2,Ras GTPase-activating-like protein IQGAP2,,"saliva: 27/1.72 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P46940,IQGAP1,Ras GTPase-activating-like protein IQGAP1,,"saliva: 54/2.13 peptides
parotid gland: 9/0.04 peptides
sm/sl glands: 3/0.03 peptides",n/a,n/a
Q9UJF2,RASAL2,Ras GTPase-activating protein nGAP,,"saliva: 177/10.69 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q02833,RASSF7,Ras association domain-containing protein 7,,"saliva: 11/3.25 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q6ZS11,RINL,Ras and Rab interactor-like protein,,"saliva: 60/8.88 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,7.9
Q8WYP3,RIN2,Ras and Rab interactor 2,,"saliva: 11/1 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,12
Q6R327,RICTOR,Rapamycin-insensitive companion of mTOR,,"saliva: 16/0.22 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,12.9
O95398,RAPGEF3,Rap guanine nucleotide exchange factor 3,,"saliva: 19/1.85 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,20.5
Q9Y4G8,RAPGEF2,Rap guanine nucleotide exchange factor 2,,"saliva: 31/1.15 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,18.7
Q13905,RAPGEF1,Rap guanine nucleotide exchange factor 1,,"saliva: 20/1.56 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,8.5
Q8NFH8,REPS2,RalBP1-associated Eps domain-containing protein 2,,"saliva: 2/0.31 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q96D71,REPS1,RalBP1-associated Eps domain-containing protein 1,,"saliva: 14/2.1 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q15311,RALBP1,RalA-binding protein 1,,"saliva: 12/0.96 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q12967,RALGDS,Ral guanine nucleotide dissociation stimulator,,"saliva: 2/0.26 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,12.4
Q0VGL1,LAMTOR4,Ragulator complex protein LAMTOR4,,"saliva: 18/15.69 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,35.4
P04049,RAF1,RAF proto-oncogene serine/threonine-protein kinase,,"saliva: 183/21.91 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P35241,RDX,Radixin,,"saliva: 508/41.83 peptides
parotid gland: 42/1.16 peptides
sm/sl glands: 26/1.76 peptides",medium,9
Q09MP3,RAD51AP2,RAD51-associated protein 2,,"saliva: 236/14.7 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P31749,AKT1,RAC-alpha serine/threonine-protein kinase,,"saliva: 33/5.19 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9Y2J0,RPH3A,Rabphilin-3A,,"saliva: 0/0 peptides
parotid gland: 2/0.02 peptides
sm/sl glands: 0/0 peptides",not detected,1.3
Q9P2R3,ANKFY1,Rabankyrin-5,,"saliva: 88/8.04 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,16.2
Q15042,RAB3GAP1,Rab3 GTPase-activating protein catalytic subunit,,"saliva: 5/0.46 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9P260,RELCH,RAB11-binding protein RELCH,,"saliva: 5/0.46 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q7L804,RAB11FIP2,Rab11 family-interacting protein 2,,"saliva: 33/3.91 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,6.2
Q6WKZ4,RAB11FIP1,Rab11 family-interacting protein 1,,"saliva: 5/0.48 peptides
parotid gland: 2/0.03 peptides
sm/sl glands: 0/0 peptides",medium,20.9
Q15276,RABEP1,Rab GTPase-binding effector protein 1,,"saliva: 26/2.24 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P50395,GDI2,Rab GDP dissociation inhibitor beta,,"saliva: 97/12.82 peptides
parotid gland: 6/0.1 peptides
sm/sl glands: 11/0.41 peptides",low,44.7
P31150,GDI1,Rab GDP dissociation inhibitor alpha,,"saliva: 31/5.59 peptides
parotid gland: 5/0.08 peptides
sm/sl glands: 0/0 peptides",medium,16.5
Q8NFW9,MYRIP,Rab effector MyRIP,,"saliva: 2/0.31 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,16
