UniProt Accession,Entry name,Status,Protein names,Gene names,Organism,Length,3D,Cross-reference (SMR),,
Q04180,Q04180_PEA,unreviewed,BURP domain-containing protein (Fragment),,Pisum sativum (Garden pea),221,,,,
Q84WX3,Q84WX3_PEA,unreviewed,Auxin efflux carrier component,,Pisum sativum (Garden pea),599,,,,
B9X288,B9X288_PEA,unreviewed,Auxin efflux carrier component,PsPIN3,Pisum sativum (Garden pea),595,,,,
B0LB01,B0LB01_PEA,unreviewed,Aldehyde oxidase 3,AO3,Pisum sativum (Garden pea),1367,,,,
Q6YA92,Q6YA92_PEA,unreviewed,Cytochrome P450,,Pisum sativum (Garden pea),502,,,,
A0A0K0KX33,A0A0K0KX33_PEA,unreviewed,Sucrose phosphatase-like protein (Fragment),,Pisum sativum (Garden pea),25,,,,
Q8GUR9,Q8GUR9_PEA,unreviewed,Thioredoxin h,,Pisum sativum (Garden pea),113,,,,
Q40982,Q40982_PEA,unreviewed,Calmodulin,,Pisum sativum (Garden pea),150,,,,
Q6A167,Q6A167_PEA,unreviewed,Ftsh-like protease,ftsh11,Pisum sativum (Garden pea),786,,,,
Q8H6S8,Q8H6S8_PEA,unreviewed,Eukaryotic translation initiation factor 5B (Translation initiation factor IF-2),,Pisum sativum (Garden pea),861,,,,
A3F6K2,A3F6K2_PEA,unreviewed,"Chlorophyll a-b binding protein, chloroplastic",cab8,Pisum sativum (Garden pea),266,,,,
B7SQA1,B7SQA1_PEA,unreviewed,Putative LysM receptor kinase K1A (Fragment),K1,Pisum sativum (Garden pea),343,,,,
B7SNX4,B7SNX4_PEA,unreviewed,DNA-directed RNA polymerase subunit (EC 2.7.7.6) (Fragment),rpb1,Pisum sativum (Garden pea),1010,,,,
A0A0H3WB94,A0A0H3WB94_PEA,unreviewed,Class II knotted-1-like 10 homeobox transcription factor,,Pisum sativum (Garden pea),369,,,,
D3VND7,D3VND7_PEA,unreviewed,Vicilin 47k,vc-2,Pisum sativum (Garden pea),438,,,,
Q9SPT5,Q9SPT5_PEA,unreviewed,Topoisomerase II (Fragment),,Pisum sativum (Garden pea),12,,,,
Q8VYX8,Q8VYX8_PEA,unreviewed,Ultraviolet-B-inducible ribosomal protein (Fragment),,Pisum sativum (Garden pea),78,,,,
Q9LRI5,Q9LRI5_PEA,unreviewed,PsAD1,PsAD1,Pisum sativum (Garden pea),87,,,,
A0A0F6NGE9,A0A0F6NGE9_PEA,unreviewed,Protein Ycf2,ycf2,Pisum sativum (Garden pea),1822,,,,
Q53WT5,Q53WT5_PEA,unreviewed,PI230 protein,pI230,Pisum sativum (Garden pea),72,,Q53WT5;,,
A0A1U9X426,A0A1U9X426_PEA,unreviewed,Amino acid permease 3b-like protein (Fragment),AAP3b,Pisum sativum (Garden pea),457,,,,
A0A0K1U4B3,A0A0K1U4B3_PEA,unreviewed,Sulfate transporter 1.3-like protein,Sultr1.3,Pisum sativum (Garden pea),654,,,,
D2D4A6,D2D4A6_PEA,unreviewed,MLO-like protein,MLO1 MLO,Pisum sativum (Garden pea),574,,,,
O22464,O22464_PEA,unreviewed,1-aminocyclopropane-1-carboxylate synthase,ACS2,Pisum sativum (Garden pea),487,,,,
A0A6M4EEK0,A0A6M4EEK0_PEA,unreviewed,"NAD(P)H-quinone oxidoreductase chain 4, chloroplastic (EC 7.1.1.-) (NAD(P)H dehydrogenase, chain 4) (NADH-plastoquinone oxidoreductase chain 4)",ndhD,Pisum sativum (Garden pea),497,,,,
Q8VX23,Q8VX23_PEA,unreviewed,Trypsin/chymotrypsin inhibitor (Fragment),ti3F,Pisum sativum (Garden pea),104,,,,
I3VZ37,I3VZ37_PEA,unreviewed,Mutant lectin (Fragment),,Pisum sativum (Garden pea),127,,,,
P93469,P93469_PEA,unreviewed,ADP-glucose pyrophosphorylase (Fragment),agpl2,Pisum sativum (Garden pea),363,,,,
Q257C6,Q257C6_PEA,unreviewed,Putative thioredoxin,trx,Pisum sativum (Garden pea),181,,,,
D5MAL1,D5MAL1_PEA,unreviewed,"30S ribosomal protein S18, chloroplastic",rps18,Pisum sativum (Garden pea),110,,,,
Q6ULR9,Q6ULR9_PEA,unreviewed,SAT5,,Pisum sativum (Garden pea),235,,,,
Q5XMI8,Q5XMI8_PEA,unreviewed,Iron reductase,FRO1,Pisum sativum (Garden pea),712,,,,
Q8M7S3,Q8M7S3_PEA,unreviewed,NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2),nad3,Pisum sativum (Garden pea),118,,,,
A0A0N7BU01,A0A0N7BU01_PEA,unreviewed,PsbS,,Pisum sativum (Garden pea),270,,,,
Q49KC9,Q49KC9_PEA,unreviewed,Transposase,,Pisum sativum (Garden pea),412,,,,
Q76JV3,Q76JV3_PEA,unreviewed,"12-oxophytodienoic acid 10, 11-reductase (Fragment)",OPR4,Pisum sativum (Garden pea),116,,,,
D5MAK0,D5MAK0_PEA,unreviewed,"ATP synthase subunit alpha, chloroplastic (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)",atpA,Pisum sativum (Garden pea),501,,D5MAK0;,,
Q9ZSQ1,Q9ZSQ1_PEA,unreviewed,Lipoxygenase LoxN4 (Fragment),LoxN4,Pisum sativum (Garden pea),34,,,,
Q9SC36,Q9SC36_PEA,unreviewed,Putative cathepsin B-like protease (Fragment),cat1-related,Pisum sativum (Garden pea),206,,,,
Q9AUH8,Q9AUH8_PEA,unreviewed,Leucine-rich repeat protein (Fragment),LRRP,Pisum sativum (Garden pea),122,,,,
Q9M4A9,Q9M4A9_PEA,unreviewed,"(1->3)-beta-glucan endohydrolase (EC 3.2.1.39) (Beta-1,3-endoglucanase)",gns2,Pisum sativum (Garden pea),453,,,,
Q41022,Q41022_PEA,unreviewed,Small GTP-binding protein,,Pisum sativum (Garden pea),215,,,,
Q9XGH1,Q9XGH1_PEA,unreviewed,Ribonuclease H (Fragment),rnaseH,Pisum sativum (Garden pea),26,,,,
Q76KW1,Q76KW1_PEA,unreviewed,Glutathione S-transferase,GST,Pisum sativum (Garden pea),234,,,,
Q6KGX4,Q6KGX4_PEA,unreviewed,Ribosomal protein S12 (Fragment),rps12,Pisum sativum (Garden pea),71,,,,
E5LFQ2,E5LFQ2_PEA,unreviewed,YUC2 (Fragment),YUC2,Pisum sativum (Garden pea),331,,,,
Q9SLV4,Q9SLV4_PEA,unreviewed,Apyrase (EC 3.6.1.5) (Fragment),,Pisum sativum (Garden pea),447,,,,
A0A1U9X3Y7,A0A1U9X3Y7_PEA,unreviewed,Cytokinin dehydrogenase (EC 1.5.99.12) (Fragment),CKX2,Pisum sativum (Garden pea),203,,,,
Q9FV27,Q9FV27_PEA,unreviewed,Glutathione synthetase (GSH-S) (EC 6.3.2.3),hgshs,Pisum sativum (Garden pea),495,,,,
A0A0H3W9R5,A0A0H3W9R5_PEA,unreviewed,Cytokinin response regulator 8,,Pisum sativum (Garden pea),213,,,,
Q9AVS0,Q9AVS0_PEA,unreviewed,Trypsin inhibitor,ti,Pisum sativum (Garden pea),104,,,,
Q4U6G1,Q4U6G1_PEA,unreviewed,LITAF-domain-containing protein,LITAF,Pisum sativum (Garden pea),131,,,,
I6ZRV4,I6ZRV4_PEA,unreviewed,Putative LysM receptor kinase (Fragment),sym37,Pisum sativum (Garden pea),200,,,,
Q52ZI5,Q52ZI5_PEA,unreviewed,PHYTOCHROME AND FLOWERING TIME 1 (Fragment),PFT1,Pisum sativum (Garden pea),250,,,,
O24298,O24298_PEA,unreviewed,Pectinesterase (EC 3.1.1.11),pmeE,Pisum sativum (Garden pea),554,,,,
A0A218KIQ0,A0A218KIQ0_PEA,unreviewed,Ethylene receptor,ETR2,Pisum sativum (Garden pea),758,,,,
O24297,O24297_PEA,unreviewed,Phosphoinositide phospholipase C (EC 3.1.4.11),plc,Pisum sativum (Garden pea),594,,,,
Q9SC42,Q9SC42_PEA,unreviewed,Proline-rich protein,am4,Pisum sativum (Garden pea),214,,,,
Q08148,Q08148_PEA,unreviewed,GTP-binding protein,,Pisum sativum (Garden pea),215,,,,
B8LF40,B8LF40_PEA,unreviewed,Yieldin-like protein,YLD,Pisum sativum (Garden pea),330,,B8LF40;,,
Q08M20,Q08M20_PEA,unreviewed,Apyrase (EC 3.6.1.5) (Fragment),APY1,Pisum sativum (Garden pea),51,,,,
B9UKJ6,B9UKJ6_PEA,unreviewed,Mutant GRAS family protein,Sym7,Pisum sativum (Garden pea),505,,,,
A0A218MJ82,A0A218MJ82_PEA,unreviewed,Transport inhibitor response 1a,TIR1a,Pisum sativum (Garden pea),583,,,,
O64396,O64396_PEA,unreviewed,Peaci11.8,peaci11.8,Pisum sativum (Garden pea),110,,,,
Q08146,Q08146_PEA,unreviewed,GTP-binding protein (Fragment),,Pisum sativum (Garden pea),222,,,,
Q8VX10,Q8VX10_PEA,unreviewed,Trypsin/chymotrypsin inhibitor,ti7V,Pisum sativum (Garden pea),114,,,,
Q52ZI6,Q52ZI6_PEA,unreviewed,FLOWERING TIME-like (Fragment),FTL,Pisum sativum (Garden pea),40,,,,
Q9FUK9,Q9FUK9_PEA,unreviewed,MYB-related transcription factor PHAN1,,Pisum sativum (Garden pea),359,,,,
A0A0N9HLV3,A0A0N9HLV3_PEA,unreviewed,Class I knotted-1-like 8 homeobox transcription factor,KNOX8,Pisum sativum (Garden pea),267,,,,
Q9AXJ6,Q9AXJ6_PEA,unreviewed,Phosphatase-like protein Psc923,,Pisum sativum (Garden pea),400,,,,
Q41064,Q41064_PEA,unreviewed,Thiolprotease,tpp,Pisum sativum (Garden pea),464,,,,
Q6WAY6,Q6WAY6_PEA,unreviewed,Uncharacterized protein,,Pisum sativum (Garden pea),562,,,,
A0A1U9X3Z0,A0A1U9X3Z0_PEA,unreviewed,Adenylate isopentenyltransferase 4-like protein (Fragment),IPT4,Pisum sativum (Garden pea),146,,,,
O64910,O64910_PEA,unreviewed,Glucose-6-phosphate/phosphate-translocator,GPT,Pisum sativum (Garden pea),401,,,,
A0A097EU08,A0A097EU08_PEA,unreviewed,Class-B floral MADS-box protein,NGL9,Pisum sativum (Garden pea),180,,,,
Q08147,Q08147_PEA,unreviewed,GTP-binding protein,,Pisum sativum (Garden pea),225,,,,
Q9SPZ6,Q9SPZ6_PEA,unreviewed,Putative NBS-LRR type disease resistance protein (Fragment),RGA1.5,Pisum sativum (Garden pea),156,,,,
A0A3Q8Q0G2,A0A3Q8Q0G2_PEA,unreviewed,Indole-3-pyruvate monooxygenase YUCCA4 (EC 1.14.13.168) (Fragment),YUC4,Pisum sativum (Garden pea),220,,,,
U3LZ44,U3LZ44_PEA,unreviewed,Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39) (Fragment),rbcL,Pisum sativum (Garden pea),92,,,,
A0A1Z1W1Y2,A0A1Z1W1Y2_PEA,unreviewed,K1 receptor-like kinase,K1,Pisum sativum (Garden pea),620,,,,
C1L3B4,C1L3B4_PEA,unreviewed,Plastidic 2-oxoglutarate/malate translocator (Fragment),omt,Pisum sativum (Garden pea),480,,,,
Q00615,Q00615_PEA,unreviewed,Protein serine/threonine kinase (Fragment),PsPK4,Pisum sativum (Garden pea),81,,,,
Q9AVR8,Q9AVR8_PEA,unreviewed,Sucrose synthase (EC 2.4.1.13),sus3,Pisum sativum (Garden pea),804,,,,
Q9T2K3,Q9T2K3_PEA,unreviewed,28 kDa single-stranded nucleic-acid-specific acidic protein (Fragment),,Pisum sativum (Garden pea),17,,,,
Q84NA2,Q84NA2_PEA,unreviewed,LEGCYC (Fragment),,Pisum sativum (Garden pea),91,,,,
Q52ZH9,Q52ZH9_PEA,unreviewed,FLOWERING LOCUS D (Fragment),FLD,Pisum sativum (Garden pea),247,,,,
A0A385LT41,A0A385LT41_PEA,unreviewed,Short vegetative phase B,SVPb,Pisum sativum (Garden pea),212,,,,
Q6TEC3,Q6TEC3_PEA,unreviewed,Hexosyltransferase (EC 2.4.1.-) (Fragment),zg10,Pisum sativum (Garden pea),250,,,,
Q9AVH0,Q9AVH0_PEA,unreviewed,ACC synthase,Ps-ACS3,Pisum sativum (Garden pea),477,,,,
W0M1Z1,W0M1Z1_PEA,unreviewed,PIP2-3,PIP2-3,Pisum sativum (Garden pea),287,,,,
Q6KC90,Q6KC90_PEA,unreviewed,FtsH-like protease,ftsh4,Pisum sativum (Garden pea),706,,,,
Q5EJW8,Q5EJW8_PEA,unreviewed,G-gamma 2 subunit protein,PGG2,Pisum sativum (Garden pea),100,,,,
A0A0F6NFX1,A0A0F6NFX1_PEA,unreviewed,"30S ribosomal protein S12, chloroplastic",rps12,Pisum sativum (Garden pea),127,,A0A0F6NFX1;,,
Q76FR8,Q76FR8_PEA,unreviewed,Uncharacterized protein PsOPR4,PsOPR4,Pisum sativum (Garden pea),362,,,,
A0A386K0Z4,A0A386K0Z4_PEA,unreviewed,Sucrose synthase (EC 2.4.1.13) (Fragment),Sus1,Pisum sativum (Garden pea),806,,,,
O81612,O81612_PEA,unreviewed,Knotted I class homeodomain protein (Fragment),PsKn2,Pisum sativum (Garden pea),251,,,,
O04698,O04698_PEA,unreviewed,Chloroplast DNA-binding protein PD3,,Pisum sativum (Garden pea),1629,,,,
Q00809,Q00809_PEA,unreviewed,Cytochrome c oxidase subunit 2 (Fragment),COX2,Pisum sativum (Garden pea),259,,,,
A0A2H4UYC8,A0A2H4UYC8_PEA,unreviewed,Putative LysM receptor kinase K1 (Fragment),K1,Pisum sativum (Garden pea),211,,,,
Q41035,Q41035_PEA,unreviewed,Minor legumin (Fragment),LegK,Pisum sativum (Garden pea),139,,,,
D0E2V6,D0E2V6_PEA,unreviewed,ORF1 (Fragment),,Pisum sativum (Garden pea),366,,,,
Q9M7D9,Q9M7D9_PEA,unreviewed,Pathogenesis-related protein 4A,PRP4A,Pisum sativum (Garden pea),145,,,,
Q52ZH6,Q52ZH6_PEA,unreviewed,VERNALISATION 2/EMBRYONIC FLOWER 2-like (Fragment),VEL2,Pisum sativum (Garden pea),107,,,,
Q52ZI3,Q52ZI3_PEA,unreviewed,Early flowering 4,ELF4,Pisum sativum (Garden pea),135,,,,
D5MAG2,D5MAG2_PEA,unreviewed,Maturase K (Intron maturase),matK,Pisum sativum (Garden pea),509,,,,
Q40986,Q40986_PEA,unreviewed,Pisum sativum clone MFRTPCR62 wound-inducible cytochrome P450 (Fragment),,Pisum sativum (Garden pea),70,,,,
A4PBE7,A4PBE7_PEA,unreviewed,Cytochrome P450 enzyme,CYP90B,Pisum sativum (Garden pea),485,,,,
A0A0H3WB97,A0A0H3WB97_PEA,unreviewed,Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1),,Pisum sativum (Garden pea),215,,,,
Q9M4T1,Q9M4T1_PEA,unreviewed,Ribulose-5-phosphate-3-epimerase (Fragment),,Pisum sativum (Garden pea),54,,,,
Q6H3D9,Q6H3D9_PEA,unreviewed,Heavy metal-induced protein 6C (Fragment),,Pisum sativum (Garden pea),107,,,,
Q9XML4,Q9XML4_PEA,unreviewed,Putative cytochrome c biosynthesis ccmC-like mitochondrial protein,ccb248 CCMC,Pisum sativum (Garden pea),248,,,,
K9W625,K9W625_PEA,unreviewed,Putative NBS-LRR type disease resistance protein (Fragment),RGA,Pisum sativum (Garden pea),171,,,,
A0A6M4ECI7,A0A6M4ECI7_PEA,unreviewed,"30S ribosomal protein S12, chloroplastic",rps12,Pisum sativum (Garden pea),123,,,,
A0A1U9X415,A0A1U9X415_PEA,unreviewed,Bidirectional sugar transporter SWEET,SWEET17,Pisum sativum (Garden pea),250,,,,
Q8RVT4,Q8RVT4_PEA,unreviewed,3-methylcrotonyl CoA carboxylase (Fragment),PsMCC,Pisum sativum (Garden pea),326,,,,
A0A2H4UYK3,A0A2H4UYK3_PEA,unreviewed,Putative LysM receptor kinase K1 (Fragment),K1,Pisum sativum (Garden pea),211,,,,
Q43619,Q43619_PEA,unreviewed,PsPK3 protein,PsPK3,Pisum sativum (Garden pea),479,,,,
Q9M7D7,Q9M7D7_PEA,unreviewed,Lipid transfer protein,LTP,Pisum sativum (Garden pea),115,,,,
Q9SP13,Q9SP13_PEA,unreviewed,Nucleoside diphosphate kinase (EC 2.7.4.6),ndpk,Pisum sativum (Garden pea),233,X-ray crystallography (1),Q9SP13;,,
Q9ZRI6,Q9ZRI6_PEA,unreviewed,Ubiquitin,PUB3,Pisum sativum (Garden pea),457,,,,
Q94ES2,Q94ES2_PEA,unreviewed,Root nodule extensin (Fragment),,Pisum sativum (Garden pea),88,,,,
Q5MJ55,Q5MJ55_PEA,unreviewed,AT-rich element binding factor 1,ATF1,Pisum sativum (Garden pea),372,,,,
A0A6B9ZPX8,A0A6B9ZPX8_PEA,unreviewed,Mg-protoporphyrin IX chelatase (EC 6.6.1.1),CHLI2,Pisum sativum (Garden pea),417,,,,
A0A6M4ECR5,A0A6M4ECR5_PEA,unreviewed,"50S ribosomal protein L2, chloroplastic",rpl2,Pisum sativum (Garden pea),274,,,,
Q8LJQ8,Q8LJQ8_PEA,unreviewed,G protein alpha II subunit,,Pisum sativum (Garden pea),384,,,,
Q9FSD6,Q9FSD6_PEA,unreviewed,Beta-ketoacyl-acyl carrier protein synthase III,KAS III,Pisum sativum (Garden pea),397,,Q9FSD6;,,
P93475,P93475_PEA,unreviewed,Myb-like protein (Fragment),,Pisum sativum (Garden pea),43,,,,
Q84UY6,Q84UY6_PEA,unreviewed,Histone H1 subtype 5,His1,Pisum sativum (Garden pea),256,,,,
Q43074,Q43074_PEA,unreviewed,1-aminocyclopropane-1-carboxylate synthase (EC 4.4.1.14) (Fragment),ACS2,Pisum sativum (Garden pea),91,,,,
A7X6P9,A7X6P9_PEA,unreviewed,3-ketoacyl-CoA synthase (EC 2.3.1.-),,Pisum sativum (Garden pea),548,,,,
Q8H1A4,Q8H1A4_PEA,unreviewed,DEAD box RNA helicase,,Pisum sativum (Garden pea),413,,,,
Q93YB1,Q93YB1_PEA,unreviewed,"Starch synthase, chloroplastic/amyloplastic (EC 2.4.1.-)",gbssIb,Pisum sativum (Garden pea),613,,,,
D5MAI7,D5MAI7_PEA,unreviewed,"NAD(P)H-quinone oxidoreductase subunit 1, chloroplastic (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit 1) (NDH subunit 1) (NADH-plastoquinone oxidoreductase subunit 1)",ndhA,Pisum sativum (Garden pea),363,,,,
Q84VS8,Q84VS8_PEA,unreviewed,Putative plasma membrane intrinsic protein (Fragment),pip1-2,Pisum sativum (Garden pea),127,,,,
Q94ES5,Q94ES5_PEA,unreviewed,Root nodule extensin,,Pisum sativum (Garden pea),144,,,,
B5A8N7,B5A8N7_PEA,unreviewed,Early nodulin protein 12A,ENOD12A,Pisum sativum (Garden pea),110,,,,
Q94ES4,Q94ES4_PEA,unreviewed,Root nodule extensin (Fragment),,Pisum sativum (Garden pea),120,,,,
Q9SPZ0,Q9SPZ0_PEA,unreviewed,Putative NBS-LRR type disease resistance protein (Fragment),RGA2.159,Pisum sativum (Garden pea),160,,,,
Q8VX09,Q8VX09_PEA,unreviewed,Trypsin/chymotrypsin inhibitor,,Pisum sativum (Garden pea),114,,,,
B0M172,B0M172_PEA,unreviewed,Xyloglucan:xyloglucosyl transferase (EC 2.4.1.207) (Fragment),PsEXT4,Pisum sativum (Garden pea),182,,,,
Q0GRC8,Q0GRC8_PEA,unreviewed,mRNA cap-binding protein,WLV,Pisum sativum (Garden pea),228,,,,
Q9FUI1,Q9FUI1_PEA,unreviewed,Apyrase 2,apy2,Pisum sativum (Garden pea),447,,,,
A0A1U9X3Z6,A0A1U9X3Z6_PEA,unreviewed,Two-component response regulator 9-like protein (Fragment),ARR9,Pisum sativum (Garden pea),80,,,,
Q531A8,Q531A8_PEA,unreviewed,FCA gamma,FCA gamma,Pisum sativum (Garden pea),743,,,,
Q0E7L3,Q0E7L3_PEA,unreviewed,Putative glycine rich protein,grp1,Pisum sativum (Garden pea),171,,,,
A0A0K1U4I5,A0A0K1U4I5_PEA,unreviewed,Sulfate transporter 3.1-like protein,Sultr3.1,Pisum sativum (Garden pea),665,,,,
O24470,O24470_PEA,unreviewed,Lipoxygenase (EC 1.13.11.-),Lox1:Ps:1,Pisum sativum (Garden pea),868,,,,
O65875,O65875_PEA,unreviewed,FtsZ protein,ftsZ,Pisum sativum (Garden pea),423,,,,
I7DFF9,I7DFF9_PEA,unreviewed,DNA-directed RNA polymerase (EC 2.7.7.6) (Fragment),rpoC1,Pisum sativum (Garden pea),177,,,,
Q7M1N3,Q7M1N3_PEA,unreviewed,Legumin L1 beta chain (Fragment),,Pisum sativum (Garden pea),70,,,,
Q9ZS47,Q9ZS47_PEA,unreviewed,Arbuscular mycorrhiza protein,am3,Pisum sativum (Garden pea),120,,,,
Q41068,Q41068_PEA,unreviewed,P.sativum vicilin (Fragment),,Pisum sativum (Garden pea),63,,,,
A0A0N9E0K0,A0A0N9E0K0_PEA,unreviewed,Toc132 (Fragment),Toc132,Pisum sativum (Garden pea),294,,,,
A2TKE7,A2TKE7_PEA,unreviewed,Small ubiquitin-related modifier (SUMO) (Fragment),,Pisum sativum (Garden pea),94,,,,
Q9AVE4,Q9AVE4_PEA,unreviewed,DNA-binding protein DF1,DF1,Pisum sativum (Garden pea),682,,,,
A4UTS4,A4UTS4_PEA,unreviewed,Chloroplast phosphoenolpyruvate/phosphate translocator,,Pisum sativum (Garden pea),329,,,,
A0A0F6NG26,A0A0F6NG26_PEA,unreviewed,"NAD(P)H-quinone oxidoreductase subunit 1, chloroplastic (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit 1) (NDH subunit 1) (NADH-plastoquinone oxidoreductase subunit 1)",ndhA,Pisum sativum (Garden pea),367,,,,
Q49KC8,Q49KC8_PEA,unreviewed,Transposase,,Pisum sativum (Garden pea),412,,,,
A0A218KIQ2,A0A218KIQ2_PEA,unreviewed,1-aminocyclopropane-1-carboxylate oxidase 3,ACO3,Pisum sativum (Garden pea),317,,,,
P94018,P94018_PEA,unreviewed,Actin (Fragment),PEAc11,Pisum sativum (Garden pea),281,,,,
E7BBI0,E7BBI0_PEA,unreviewed,Putative LysM receptor kinase (Fragment),sym37,Pisum sativum (Garden pea),54,,,,
Q9AVN8,Q9AVN8_PEA,unreviewed,S-type apyrase (EC 3.6.1.5) (Fragment),ATP diphosphohydrolase,Pisum sativum (Garden pea),407,,,,
Q52ZI7,Q52ZI7_PEA,unreviewed,CONSTANS-LIKE b,COLb,Pisum sativum (Garden pea),312,,,,
Q76KV1,Q76KV1_PEA,unreviewed,DNA binding with one finger 3 protein,PsDof3,Pisum sativum (Garden pea),290,,,,
B9UKJ5,B9UKJ5_PEA,unreviewed,Mutant GRAS family protein,Sym7,Pisum sativum (Garden pea),203,,,,
H9CWH6,H9CWH6_PEA,unreviewed,Phosphate transporter protein (Fragment),PT1,Pisum sativum (Garden pea),478,,,,
T2D2Y2,T2D2Y2_PEA,unreviewed,MADS-box transcription factor 12,,Pisum sativum (Garden pea),248,,,,
B8XRZ6,B8XRZ6_PEA,unreviewed,CUP-SHAPED COTYLEDON3,CUC3,Pisum sativum (Garden pea),340,,,,
B4YK05,B4YK05_PEA,unreviewed,LST1,,Pisum sativum (Garden pea),418,,,,
Q7DM33,Q7DM33_PEA,unreviewed,Nodulin (Fragment),PsNOD6,Pisum sativum (Garden pea),47,,,,
G9HXH3,G9HXH3_PEA,unreviewed,MADS-box transcription factor NMH7,NMH7,Pisum sativum (Garden pea),233,,,,
Q9M3X6,Q9M3X6_PEA,unreviewed,Convicilin,cvc,Pisum sativum (Garden pea),613,,Q9M3X6;,,
A0A1U9X422,A0A1U9X422_PEA,unreviewed,Amino acid permease 6a-like protein (Fragment),AAP6a,Pisum sativum (Garden pea),328,,,,
Q9AXL5,Q9AXL5_PEA,unreviewed,Ferredoxin-NADP+ reductase (Fragment),,Pisum sativum (Garden pea),145,,,,
D3H5I1,D3H5I1_PEA,unreviewed,ATPase protein (Fragment),ATPase,Pisum sativum (Garden pea),63,,,,
D2DNK1,D2DNK1_PEA,unreviewed,Pseudo response regulator 59,PRR59,Pisum sativum (Garden pea),494,,,,
Q76KU9,Q76KU9_PEA,unreviewed,DNA binding with one finger 5 protein,PsDof5,Pisum sativum (Garden pea),234,,,,
A0A0H3WA23,A0A0H3WA23_PEA,unreviewed,tRNA isopentenyltransferase 5,,Pisum sativum (Garden pea),473,,,,
Q49KD1,Q49KD1_PEA,unreviewed,Transposase (Fragment),,Pisum sativum (Garden pea),128,,,,
Q4A195,Q4A195_PEA,unreviewed,Histone H1 subtype 7,his7,Pisum sativum (Garden pea),178,,,,
Q76KU3,Q76KU3_PEA,unreviewed,Apyrase,,Pisum sativum (Garden pea),455,,,,
Q76FZ8,Q76FZ8_PEA,unreviewed,Brassinosteroid receptor,LKA,Pisum sativum (Garden pea),1188,,,,
Q7XZT4,Q7XZT4_PEA,unreviewed,RPA 32kDa,,Pisum sativum (Garden pea),273,,,,
Q208P3,Q208P3_PEA,unreviewed,Dioxygenase RAMOSUS5,RMS5,Pisum sativum (Garden pea),620,,,,
Q56NI7,Q56NI7_PEA,unreviewed,MADS box protein M2,,Pisum sativum (Garden pea),236,,,,
Q8LJQ7,Q8LJQ7_PEA,unreviewed,G protein beta subunit,,Pisum sativum (Garden pea),377,,,,
E5LFQ1,E5LFQ1_PEA,unreviewed,Flavin-containing monooxygenase (EC 1.-.-.-),YUC1,Pisum sativum (Garden pea),411,,E5LFQ1;,,
A4UTS3,A4UTS3_PEA,unreviewed,Chloroplast phosphoenolpyruvate/phosphate translocator,,Pisum sativum (Garden pea),408,,,,
Q9SAP8,Q9SAP8_PEA,unreviewed,LHCPII (14AA) (Fragment),,Pisum sativum (Garden pea),14,,,,
O04118,O04118_PEA,unreviewed,Dehydrin 3,Dhn3,Pisum sativum (Garden pea),198,,,,
Q9T2K2,Q9T2K2_PEA,unreviewed,12 kDa basic FUNCTIONAL DNA binding region of 30 kDa single-stranded nucleic-acid-specific acidic protein (Fragment),,Pisum sativum (Garden pea),20,,,,
Q40993,Q40993_PEA,unreviewed,NTH1,PsCyp1,Pisum sativum (Garden pea),367,,,,
X4YKY3,X4YKY3_PEA,unreviewed,mRNA cap-binding protein,eIF4E,Pisum sativum (Garden pea),228,,,,
Q76KV2,Q76KV2_PEA,unreviewed,DNA binding with one finger 2 protein,PsDof2,Pisum sativum (Garden pea),296,,,,
P93478,P93478_PEA,unreviewed,Putative transmembrane protein,psemyc1,Pisum sativum (Garden pea),108,,,,
Q41025,Q41025_PEA,unreviewed,Histone H1,H1-41,Pisum sativum (Garden pea),185,,,,
A0A4D6FUK1,A0A4D6FUK1_PEA,unreviewed,Acetyl-CoA carboxylase beta subunit (Fragment),accD,Pisum sativum (Garden pea),528,,,,
Q18PR1,Q18PR1_PEA,unreviewed,Peroxidase (EC 1.11.1.7),,Pisum sativum (Garden pea),318,,,,
Q56NI5,Q56NI5_PEA,unreviewed,MADS box protein M5 (Fragment),,Pisum sativum (Garden pea),238,,,,
Q9AVA0,Q9AVA0_PEA,unreviewed,Nodule-specific protein,PsN466,Pisum sativum (Garden pea),61,,,,
Q9M3X5,Q9M3X5_PEA,unreviewed,Vicilin 47k (Fragment),vicJ,Pisum sativum (Garden pea),156,,,,
Q7Y1T5,Q7Y1T5_PEA,unreviewed,Oxygen-evolving enhancer protein 3,psbQ,Pisum sativum (Garden pea),234,Electron microscopy (1),,,
Q9XML3,Q9XML3_PEA,unreviewed,S7 ribosomal protein (Fragment),rps7,Pisum sativum (Garden pea),110,,,,
D5MAN3,D5MAN3_PEA,unreviewed,"NAD(P)H-quinone oxidoreductase subunit 5, chloroplastic (EC 7.1.1.-) (NADH-plastoquinone oxidoreductase subunit 5)",ndhF,Pisum sativum (Garden pea),748,,,,
